"","unique_row","study_ID","long_cite","short_cite","INCLUDE.","CogsProc","peer_reviewed","coder","replication","DirectRep_ReasonNo_long","Rep_reason_short","expt_num","same_infant","expt_condition","native_lang","stimuli_type","test_lang_type","test_lang_fam","test_lang","test_lang_program","fam_lang_coarticulation","uniformity","additional_cue","additional_cue_type","cue_conflict_TP","TPvsCue","test_same_familiarization","test_voice","infant_type","multiple_age_groups","mean_age_months","mean_age_1","mean_age_2","age_range_1","gender_1","n_1","n_2","group_name_1","group_name_2","n_excluded_1","fussers_1","exclusionCriteria","words","test_words","number_syllables","duration_syllables","X.Words","X.WordRepetitions","ForwardTP_target","ForwardTP_nonword","BackwardTP_Target","BackwardTP_nonword","frequency_balanced","familiarization_time","num_test_trials","duration_test_trial","method","exposure_phase","response_mode","dependent_measure","participant_design","Block","HTP_x_1","SD_1","LTP_x_2","SD_2","corr","t","F","d","d_var","p_val_reported","reported_sig","cor_derived","r","familiarity","Predicted","proportion_preference","prop_direction","Proportion_test","Prop_p_value","Test_Standard","MissedByOurCoding.","Notes.","ResultValues_Checked.","Source","Lab","x_1","x_2","corr_imputed","d_calc","d_var_calc","es_method","g_calc","g_var_calc","weights_g","weights_d","nooutlier","StimuliType","age.C","FoilType","mean_age","n","same_infant_calc","se","lowerci","upperci","UniqueStudy"
"13","1","AslinSaffranNewport1998","Aslin, R. N., Saffran, J. R., & Newport, E. L. (1998). Computation of conditional probability statistics by 8-month-old infants. Psychological science, 9(4), 321-324.","Aslin, Saffran, & Newport (1998)","yes",TRUE,"yes","SK/AKB",TRUE,NA,NA,1,1,"frequency balanced","American English","artificial","native","fam","native","MacInTalk","yes","yes","none","none","no","no","yes","SAME","typical",0,8,243.52,NA,30.44,NA,30,NA,"","",7,6,"fussiness, drowsiness","Corpus 1: pabiku, tibudo, golatu, daropi; Corpus 2: tudaro, pigola, bikuti, budopa","pabiku, tibudo, tudaro, pigola",3,222.2222222,4,45,1,0.5,NA,NA,"yes",180,12,"unlimited","HPP","familiarization","behavior","looking_time","within_two","",6.78,1.971801207,7.36,2.300434742,0.84704414232274,2.1,NA,NA,NA,NA,"yes",0.7596521854,NA,"novelty","novelty",NA,"","",NA,"y","n","actually 2 groups but they collapse the results and say no group differences. Int to note that they argue the novelty pref is a strong argument that the learning was based on TPs and not on frequency (and hence that the infants were showing a familiarity pref for the bigrams which are more frequent in the part-words). May not be as clear now.","yes","authors_files","Saffran",7.36,6.78,0.84704414232274,0.270720816214048,0.0105707271168334,"group_means_two",0.263469365779744,0.0100120223911908,9975.99850958204,8949.32493078027,TRUE,"0",-0.481253288399705,"partword",243.52,30,"AslinSaffranNewport1998 1",0.10006009389957,0.067351581736586,0.459587149822901,"FALSE"
"14","48","Thiessen2010","Thiessen, E. D. (2010). Effects of visual information on adults’ and infants’ auditory statistical learning. Cognitive Science, 34(6), 1093-1106.","Thiessen (2010)","yes",TRUE,"yes","AKB",TRUE,NA,NA,2,1,"no video","American English","artificial","native","fam","native","MBROLA","yes","yes","none","none","no","no","yes","SAME","typical",0,8.12,247.1728,NA,NA,NA,15,NA,"","",4.333333333,3.333333333,"fussing, parental interference, experimenter error","bidaku, golabu, padoti, tupiro","bidaku, tupiro, tigola, bupado",3,222.22,4,45,1,0.3,NA,NA,"no",120,12,"unlimited","CF","familiarization","eye-tracking","looking_time","within_two","",8.9,3.5,9.9,3.7,0.838332676978394,2.5,NA,NA,NA,NA,"yes",0.9088803089,NA,"novelty","none",NA,"","n",NA,"n","n","There was a main effect of test item, F(1, 42) = 17.9, p < .01, due to the fact that infants in all three conditions preferred the part-word test trials to the word test trials. However, there was neither a main effect of condition, F(2, 42) < 1, ns, nor any interaction between condition and test item, F(2, 42) < 1, ns. This analysis indicates that infants performed equivalently in all three conditions.","yes","authors_files","Thiessen",9.9,8.9,0.838332676978394,0.277670672403533,0.0223866239126295,"group_means_two",0.261651210534098,0.0198780636147276,2530.7651640163,1995.36703627301,TRUE,"0",-0.425059827094259,"partword",247.1728,15,"Thiessen2010 1",0.140989586901755,-0.0146883797933419,0.537990800861538,"FALSE"
"15","41","MersadNazzi2012","Mersad, K., & Nazzi, T. (2012). When Mommy comes to the rescue of statistics: Infants combine top-down and bottom-up cues to segment speech. Language Learning and Development, 8(3), 303-315.","Mersad & Nazzi (2012)","yes",TRUE,"yes","AKB",TRUE,NA,NA,3,3,"Mixed WL","French","artificial","native","fam","native","MBROLA","yes","no","none","none","no","no","yes","SAME","typical",0,8.689881735,264.52,NA,17,0.35,20,NA,"","",3,3,"","Lang A: pabi, tibu, golatu, daropi, maema; Lang B: tuda, pigo, budopa, bikuti, maema","tuda, pigo, pabi, tibu",2.5,222,4,45,1,0.5,NA,NA,"yes",159.84,NA,"13.65","HPP","familiarization","behavior","looking_time","within_two","",7.02,1.61,7.32,1.99,0.89,0.79,NA,NA,NA,0.44,"yes",0.5724346608,NA,"novelty","none",0.45,"familiarity","",NA,"y","m","","yes","authors_files","Nazzi",7.32,7.02,0.896224915693743,0.165745856353592,0.0111510942889411,"group_means_two",0.158839779005525,0.0102411959702254,9534.51588613,8042.01768690474,TRUE,"0",-0.158196267097044,"partword",264.52,20,"MersadNazzi2012 3",0.101198794312113,-0.0395098578462171,0.357189415857267,"FALSE"
"16","109","HoareauYeungNazzi2019","Hoareau, M., Yeung, H. H., & Nazzi, T. (2019). Infants’ statistical word segmentation in an artificial language is linked to both parental speech input and reported production abilities. Developmental science, e12803","Hoareau, Yeung, and Nazzi (2019)","yes",FALSE,"yes","AKB",TRUE,NA,NA,1,1,"","French","artificial","native","fam","native","MBROLA","yes","yes","none","none","no","no","yes","SAME","typical",0,8.394218134,255.52,NA,39.44,0.5757575758,33,NA,"","",10,10,"5 fussiness, 5 crying","Language A: pabiku, tibudo, golatu, daropi; Language B: tudaro, pigola, budopa, bikuti","Lang A: pabiku, tibudo, tudaro, pigola; Lang B: tudaro, pigola, pabiku, tibudo",3,222,4,45,1,0.5,NA,NA,"yes",363.6,NA,"13.65","HPP","familiarization","behavior","looking_time","within_two","",6.5,4.84345478,7.2,4.590018193,0.89,NA,4.91,NA,NA,0.03,"yes",NA,NA,"novelty","",0.6363636364,"novelty","",NA,"","","","","authors_files","Nazzi",7.2,6.5,1.07730168515492,0.148354168429699,0.00674002986430156,"group_means_two",0.144764954677368,0.00641784451373823,24278.4869463102,22012.8542614698,TRUE,"0",-0.296649276226755,"partword",255.52,33,"HoareauYeungNazzi2019 1",0.0801114505781679,-0.0122534884558414,0.301783397810577,"FALSE"
"17","73","GrafEstesGluckBastos2015","Graf Estes, K., Gluck, S. C. W., & Bastos, C. (2015). Flexibility in Statistical Word Segmentation: Finding Words in Foreign Speech. Language Learning and Development, 11(3), 252-269.","Graf Estes, Gluck, & Bastos (2015)","yes",TRUE,"yes","AKB",TRUE,NA,NA,1,2,"females_pw","American English","artificial","nonnative","unfam","Mandarin","natural","yes","yes","none","none","no","no","no","SAME","typical",0,14.3,435.292,NA,39.572,1,16,NA,"","",8.5,5,"fussiness; parental interference; equipment/experimenter error; moving out of view; 2 OUTLIERS (more than 2 SDs from the mean)","Lang A: mabi; xiepao; shunai; woka; Lang B: bixie; paoma; naiwo; kashu","shunai, woka, bixie, paoma",2,269.5,4,90,1,0.5,NA,NA,"yes",288,16,"20","CF","familiarization","eye-tracking","looking_time","within_two","",8.87,3.85,9.28,3.72,0.780338784504273,0.88,NA,0.11,NA,0.39,"yes",0.879338064,NA,"novelty","",0.6875,"novelty","",NA,"","","fam syllables are 264-275","","authors_files","Graf-Estes",9.28,8.87,0.780338784504273,0.108306355630328,0.0276186947266412,"group_means_two",0.102504229435846,0.0247388116987038,1633.96342182156,1310.97285865773,TRUE,"1",2.4689034301362,"partword",435.292,16,"GrafEstesGluckBastos2015 2",0.157285764450264,-0.20577586888667,0.410784327758363,"FALSE"
"18","23","JohnsonJusczyk2003b","Johnson, E. K., & Jusczyk, P. W. (2003). Exploring statistical learning by 8-month-olds: The role of complexity and variation. Jusczyk Lab final report, 141-148.","Johnson & Jusczyk (2003)b","yes",TRUE,"no","AKB",TRUE,NA,NA,1,1,"mixed fam and test_trisyllables","American English","artificial","native","fam","native","natural","no","no","none","none","no","no","yes","SAME","typical",0,8.14717477,248,NA,30.44,0.541666667,24,NA,"","",3,3,"fussiness","Language A: pabiku, tibudo, gola, tudaropi; Lang B: pigola, tudaro, biku, tibudopa","Lang A: pabiku, pitibu; gola; dotu Lang B: tudaro, papigo, biku, lati",2.5,278,4,54,1,0.33,NA,NA,"no",150,12,"19.785","HPP","familiarization","behavior","looking_time","within_two","",7.18,2.4,7.44,2.9,0.89,NA,NA,NA,NA,NA,"",NA,NA,"novelty","novelty",NA,"","",NA,"y","m","There was a significant effect of group, F(1, 22) = 5.06, p < .05.. If we want to include the proportion: 13/24 showed preference for part-words","yes","authors_files","Johnson",7.44,7.18,0.919650840478698,0.097679498379495,0.00921039755351682,"group_means_two",0.0943495154801941,0.00859312013483458,13542.480943994,11788.084692319,TRUE,"1",-0.412334457188471,"partword",248,24,"JohnsonJusczyk2003b 1",0.0926990837863815,-0.0873406887411137,0.276039719701502,"FALSE"
"19","34","JohnsonTyler2010","Johnson, E. K., & Tyler, M. D. (2010). Testing the limits of statistical learning for word segmentation. Developmental science, 13(2), 339-345.","Johnson & Tyler (2010)","yes",TRUE,"yes","AKB",TRUE,NA,NA,1,4,"mixed 8 mo","Dutch","artificial","native","fam","native","MBROLA","yes","no","none","none","no","no","yes","SAME","typical",1,8.70565046,265,NA,17,0.375,24,NA,"","",7,3.5,"fussiness, falling asleep, computer error, parental/sibling interference, looking times greater than 3SD from the mean (1)","each infant heard own language","disyllabic",2.5,273,4,45,1,0.33,NA,NA,"yes",197,12,"20.01","HPP","familiarization","behavior","looking_time","within_two","",8.13,2.596459127,8.31,2.449489743,0.776768991860702,NA,NA,NA,NA,NA,"",NA,NA,"novelty","novelty",0.5833333333,"novelty","n",NA,"y","m","","yes","authors_files","Johnson",8.31,8.13,0.776768991860702,0.0713141186766155,0.018649887625127,"group_means_two",0.0688829555399127,0.0173999790923996,3302.95416559913,2875.06429582226,TRUE,"0",-0.150812106610126,"partword",265,24,"JohnsonTyler2010 4",0.131908980332651,-0.189658645912082,0.327424556991908,"FALSE"
"20","68","JohnsonJusczyk2003a","Johnson, E. K., & Jusczyk, P. W. (2003). Exploring possible effects of language-‐specific knowledge on infants’ segmentation of an artificial language. Jusczyk lab final report, 141-148.","Johnson & Jusczyk (2003)a","yes",TRUE,"no","AKB",TRUE,NA,NA,3,2,"non word control","American English","artificial","native","fam","native","natural","no","yes","none","none","no","no","yes","SAME","typical",0,5.880420499,179,NA,30.44,0.5833333333,24,NA,"","",2,2,"","Lang A: tupiro, golabu, bidaku, padoti; Lang B: dapiku, tilado, burobi, pagotu","",3,278,4,45,1,0,NA,NA,"no",150,12,"20.01","HPP","familiarization","behavior","looking_time","within_two","",8.44,2.13,8.49,1.6,0.89,NA,NA,NA,NA,NA,"",NA,NA,"novelty","",0.5416666667,"novelty","",NA,"","","A 2 X 2 mixed design ANOVA with Condition and test item revealed no significant effect of test item (F < 1). There was a marginal effect of group, F(1, 22) = 4.3, p < .1. Importantly, however, there was no significant interaction between test item and group (F < 1)","","authors_files","Johnson",8.49,8.44,1.00475336929084,0.026543039861656,0.00916989577609003,"group_means_two",0.0256381635027359,0.00855533277146829,13662.3745312759,11892.4463500382,TRUE,"1",-1.47380752718293,"nonword",179,24,"JohnsonJusczyk2003a 2",0.0924950418750556,-0.155652118572373,0.206928445577845,"FALSE"
"21","89","LanyShoaibThompsonGrafEstes2018","Lany, J., Shoaib, A., Thompson, A., & Graf Estes, K. (2018). Infant statistical-learning ability is related to real-time language processing. Journal of Child Language, 45(2018), 368-391. DOI: https://doi.org/10.1017/S0305000917000253","Lany, Shoaib, Thompson, & GrafEstes (2018)","yes",FALSE,"yes","AKB",TRUE,NA,NA,1,1,"","American English","artificial","native","fam","native","natural","yes","yes","none","none","no","no","","SAME","typical",0,15.5,471.82,NA,30.44,0.5526315789,38,NA,"","",16,4,"Insufficient data on LPE or statistical learning task, innatention, scores greater than 3 SD than the mean.","Lang 1: timay, dobu, gapi, moku; Lang2: pimo, kuga, buti, maydo","timaydobu, dobutimay, moku, gapi",2,625,4,90,1,0.5,NA,NA,"yes",330,8,"35","HPP","familiarization","behavior","looking_time","within_two","",NA,NA,NA,NA,0.89,-0.11,NA,NA,NA,0.92,"yes",NA,NA,"familiarity","",NA,"","",NA,"","","may not have enough info to use this data - they report a proportion measure, not mean LTs. The proportion was reported as .5 (i.e. average LT to words divided by sum of average LT to words and part-words). Whoever added this on metalab also put -.11 under correlation; not sure where that came from but appears to be an error. (There were a number of other errors that have been corrected, but I could track down the misunderstanding in those cases).","","allintitle: infant OR month -visual SINCE 2015. Search performed on May 18, 2018","Graf-Estes",NA,NA,0.942176731881636,-0.0083697450127795,0.00578967646814404,"t_two",-0.00819537532501326,0.00555095282904956,32453.7529935267,29832.620853604,TRUE,"1",3.03083804319066,"partword",471.82,38,"LanyShoaibThompsonGrafEstes2018 1",0.0745047168241687,-0.154224620300384,0.137833869650357,"FALSE"
"22","24","JohnsonJusczyk2003b","Johnson, E. K., & Jusczyk, P. W. (2003). Exploring statistical learning by 8-month-olds: The role of complexity and variation. Jusczyk Lab final report, 141-148.","Johnson & Jusczyk (2003)b","yes",TRUE,"no","AKB",TRUE,NA,NA,1,1,"mixed fam and test_bisyllables","American English","artificial","native","fam","native","natural","no","no","none","none","no","no","yes","SAME","typical",0,8.14717477,248,NA,30.44,0.541666667,24,NA,"","",3,3,"fussiness","Language A: pabiku, tibudo, gola, tudaropi; Lang B: pigola, tudaro, biku, tibudopa","Lang A: pabiku, pitibu; gola; dotu Lang B: tudaro, papigo, biku, lati",2.5,278,4,54,1,0.33,NA,NA,"no",150,12,"19.785","HPP","familiarization","behavior","looking_time","within_two","",7.36,2.4,7.28,2.7,0.431693139987511,NA,NA,NA,NA,NA,"",NA,NA,"familiarity","novelty",NA,"","",NA,"y","m","","yes","authors_files","Johnson",7.28,7.36,0.431693139987511,-0.0313184117074509,0.0473821308241831,"group_means_two",-0.0302507385810605,0.0442065980377999,511.712246417379,445.421139879108,TRUE,"1",-0.412334457188471,"partword",248,24,"JohnsonJusczyk2003b 1",0.210253651663413,-0.44234789584135,0.381846418679229,"TRUE"
"23","32","JohnsonTyler2010","Johnson, E. K., & Tyler, M. D. (2010). Testing the limits of statistical learning for word segmentation. Developmental science, 13(2), 339-345.","Johnson & Tyler (2010)","yes",TRUE,"yes","AKB",TRUE,NA,NA,1,2,"mixed 5 mo","Dutch","artificial","native","fam","native","MBROLA","yes","no","none","none","no","no","yes","SAME","typical",1,5.880420499,179,NA,34,0.479166667,24,NA,"","",4.5,2,"fussiness, refusal to look, parental/sibling interference","each infant heard own language","disyllabic",2.5,273,4,45,1,0.33,NA,NA,"yes",147,12,"20.01","HPP","familiarization","behavior","looking_time","within_two","",7.14,2.547469332,7.03,2.743428512,0.346800808578797,NA,NA,NA,NA,NA,"",NA,NA,"familiarity","novelty",0.5,"novelty","n",NA,"y","m","","yes","authors_files","Johnson",7.03,7.14,0.346800808578797,-0.0415523546116263,0.0544802581405593,"group_means_two",-0.0401357970680481,0.050829011501232,387.058556252596,336.916039303408,TRUE,"0",-1.47380752718293,"partword",179,24,"JohnsonTyler2010 2",0.225452903066765,-0.482023487078907,0.401751892942811,"FALSE"
"24","72","GrafEstesGluckBastos2015","Graf Estes, K., Gluck, S. C. W., & Bastos, C. (2015). Flexibility in Statistical Word Segmentation: Finding Words in Foreign Speech. Language Learning and Development, 11(3), 252-269.","Graf Estes, Gluck, & Bastos (2015)","yes",TRUE,"yes","AKB",TRUE,NA,NA,1,1,"males_pw","American English","artificial","nonnative","unfam","Mandarin","natural","yes","yes","none","none","no","no","no","SAME","typical",0,14.3,435.292,NA,39.572,1,14,NA,"","",8.5,5,"fussiness; parental interference; equipment/experimenter error; moving out of view; 2 OUTLIERS (more than 2 SDs from the mean)","Lang A: mabi; xiepao; shunai; woka; Lang B: bixie; paoma; naiwo; kashu","shunai, woka, bixie, paoma",2,269.5,4,90,1,0.5,NA,NA,"yes",288,16,"20","CF","familiarization","eye-tracking","looking_time","within_two","",9.36,2.95,8.62,2.69,0.673693546451673,-2.73,NA,0.26,NA,0.02,"yes",0.939446376,NA,"familiarity","",0.7142857143,"familiarity","",NA,"","","fam syllables are 264-275","","authors_files","Graf-Estes",8.62,9.36,0.673693546451673,-0.262132960118898,0.0482167590852076,"group_means_two",-0.245749650111467,0.0423780109147332,556.825176014599,430.134193965745,TRUE,"1",2.4689034301362,"partword",435.292,14,"GrafEstesGluckBastos2015 1",0.205859201676129,-0.64923368539668,0.157734385173746,"FALSE"
"25","67","JohnsonJusczyk2003a","Johnson, E. K., & Jusczyk, P. W. (2003). Exploring possible effects of language-‐specific knowledge on infants’ segmentation of an artificial language. Jusczyk lab final report, 141-148.","Johnson & Jusczyk (2003)a","yes",TRUE,"no","AKB",TRUE,NA,NA,2,1,"control younger infants","American English","artificial","native","fam","native","natural","no","yes","none","none","no","no","yes","SAME","typical",0,5.978975033,182,NA,33,0.375,24,NA,"","",4,2,"experimenter error","Lang A: pabiku, tibudo, golatu, daropi; :ang B: tudaro, pigola, bikuti, budopa","tibudo, pabiku, tudaro, pigola",3,278,4,45,1,0.33,NA,NA,"no",150,12,"20.01","HPP","familiarization","behavior","looking_time","within_two","",8.37,2.33,7.44,2.85,0.89,NA,NA,NA,NA,NA,"",NA,NA,"familiarity","",0.375,"novelty","",NA,"","","A 2 X 2 mixed design ANOVA with Condition (Language A versus Language B) and test item revealed no significant effect of test item, F(1, 22) = 2.04, p > .1. There was a significant effect of group, F (1, 22) = 10.1, p < .01, however, there was no significant interaction between group and test item, F(1, 22) = .34, p > .1","","authors_files","Johnson",7.44,8.37,1.08097661662414,-0.357277662261938,0.00975171691977704,"group_means_two",-0.345097741957553,0.00909816047848517,12080.7198775986,10515.6913013396,TRUE,"1",-1.42765652413969,"partword",182,24,"JohnsonJusczyk2003a 1",0.0953842779418347,-0.532050926723549,-0.158144557191558,"FALSE"
"26","26","JohnsonSeidl2009","Johnson, E. K., Seidl, A. H. (2009) At 11 months, prosody still outranks statistics. Developmental Science, 12(1): 131-141","Johnson & Seidl (2009)","yes",TRUE,"yes","GG",TRUE,NA,NA,1,1,"TP","American English","artificial","native","fam","native","natural","no","yes","none","none","no","no","yes","SAME","typical",0,11.00525624,335,NA,38.05,0.5,20,NA,"","",7.5,5,"fussiness, sleepiness or parental interference","Language A: golatu, daropi, pabiku, tibudo; Language B: tudaro, pigola, bikuti, budopa","pabiku, tibudo, tudaro, pigola",3,273,4,46,1,0.33,NA,NA,"no",150,12,"19.785","HPP","familiarization","behavior","looking_time","within_two","",8.06,2.47,7.08,2.8,0.838248878091459,NA,7.76,NA,NA,NA,"yes",NA,NA,"familiarity","novelty",0.9,"familiarity","y",0,"y","n","stress is via amplitude, lengthening and pitch; in 'vs' conditions it's word final; in ""+"" conditions it's word-intial","yes","authors_files","Johnson",7.08,8.06,0.838248878091459,-0.371189487097909,0.0172894288955214,"group_means_two",-0.35572325846883,0.0158786595238383,3966.17914860535,3345.32798974268,TRUE,"1",0.926044631065413,"partword",335,20,"JohnsonSeidl2009 1",0.126010553224078,-0.602703942788023,-0.108742574149636,"FALSE"
